"","date","state","net_approval","fips","cases","deaths","death_rate","delta_cases_date","delta_cases","cases_rate_percent_change","delta_death_date","delta_death","Death_rate_percent_change","delta_date","delta_approval_rate","approval_rate_percent_change"
"2461",2020-02-26,"texas",0.0312800644842559,48,10,0,0,1,0,0,1,0,NA,1,0.00191112613432476,0.0610972568578522
"2462",2020-02-27,"texas",0.0332046231652299,48,10,0,0,1,0,0,1,0,NA,1,0.00192455868097408,0.0579605638467046
"2463",2020-02-28,"texas",0.0351153176109623,48,11,0,0,1,1,0.0909090909090909,1,0,NA,1,0.00191069444573239,0.0544119938455549
"2464",2020-02-29,"texas",0.0370264437452872,48,11,0,0,1,0,0,1,0,NA,1,0.00191112613432487,0.051615168539326
"2465",2020-03-01,"texas",0.0389505707376687,48,11,0,0,1,0,0,1,0,NA,1,0.00192412699238154,0.0493991989319102
"2466",2020-03-02,"texas",0.0387945604409891,48,11,0,0,1,0,0,1,0,NA,1,-0.00015601029667961,-0.00402144772118036
"2467",2020-03-03,"texas",0.0386515510023663,48,11,0,0,1,0,0,1,0,NA,1,-0.000143009438622832,-0.0036999663639391
"2468",2020-03-04,"texas",0.0384955407056867,48,12,0,0,1,1,0.0833333333333333,1,0,NA,1,-0.000156010296679554,-0.00405268490374802
"2469",2020-03-05,"texas",0.0383390319686944,48,16,0,0,1,4,0.25,1,0,NA,1,-0.0001565087369923,-0.00408222975269946
"2470",2020-03-06,"texas",0.038196520970384,48,19,0,0,1,3,0.157894736842105,1,0,NA,1,-0.000142510998310419,-0.00373099420287298
"2471",2020-03-07,"texas",0.0391325827504615,48,19,0,0,1,0,0,1,0,NA,1,0.000936061780077491,0.0239202657807311
"2472",2020-03-08,"texas",0.0400946462466524,48,23,0,0,1,4,0.173913043478261,1,0,NA,1,0.000962063496190879,0.0239948119325583
"2473",2020-03-09,"texas",0.041056709742843,48,24,0,0,1,1,0.0416666666666667,1,0,NA,1,0.000962063496190602,0.0234325522482548
"2474",2020-03-10,"texas",0.0419927715229205,48,31,0,0,1,7,0.225806451612903,1,0,NA,1,0.000936061780077491,0.0222910216718268
"2475",2020-03-11,"texas",0.0429548350191112,48,33,0,0,1,2,0.0606060606060606,1,0,NA,1,0.000962063496190768,0.0223970944309932
"2476",2020-03-12,"texas",0.044345350303566,48,41,0,0,1,8,0.195121951219512,1,0,NA,1,0.00139051528445477,0.0313565069378414
"2477",2020-03-13,"texas",0.0457376132714485,48,58,0,0,1,17,0.293103448275862,1,0,NA,1,0.00139226296788247,0.0304402190735123
"2478",2020-03-14,"texas",0.04712811045529,48,69,0,0,1,11,0.159420289855072,1,0,NA,1,0.00139049718384149,0.0295046241066813
"2479",2020-03-15,"texas",0.0485322031254063,48,80,0,0,1,11,0.1375,1,0,NA,1,0.00140409267011637,0.0289311545673751
"2480",2020-03-16,"texas",0.0499362957955226,48,87,1,1.14942528735632,1,7,0.0804597701149425,1,1,1,1,0.00140409267011621,0.0281176776881016
"2481",2020-03-17,"texas",0.0507163472789205,48,106,1,0.943396226415094,1,19,0.179245283018868,1,0,0,1,0.000780051483397937,0.0153806716226615
"2482",2020-03-18,"texas",0.0515093996203749,48,166,2,1.20481927710843,1,60,0.36144578313253,1,1,0.5,1,0.000793052341454381,0.0153962645128693
"2483",2020-03-19,"texas",0.0522901309203426,48,248,4,1.61290322580645,1,82,0.330645161290323,1,2,0.5,1,0.000780731299967752,0.0149307581799154
"2484",2020-03-20,"texas",0.0530831935722922,48,377,5,1.3262599469496,1,129,0.342175066312997,1,1,0.2,1,0.000793062651949561,0.014939995101642
"2485",2020-03-21,"texas",0.0538762562242418,48,547,5,0.914076782449726,1,170,0.310786106032907,1,0,0,1,0.000793062651949616,0.0147200772200793
"2486",2020-03-22,"texas",0.0529004914324345,48,632,7,1.10759493670886,1,85,0.134493670886076,1,2,0.285714285714286,1,-0.000975764791807276,-0.0184452878486685
"2487",2020-03-23,"texas",0.0519391031891518,48,728,7,0.961538461538462,1,96,0.131868131868132,1,0,0,1,-0.000961388243282679,-0.0185099122674778
"2488",2020-03-24,"texas",0.0509633635819964,48,857,11,1.28354725787631,1,129,0.150525087514586,1,4,0.363636363636364,1,-0.000975739607155468,-0.019145902832445
"2489",2020-03-25,"texas",0.0500013000858057,48,1119,12,1.07238605898123,1,262,0.234137622877569,1,1,0.0833333333333333,1,-0.000962063496190713,-0.0192407696307845
"2490",2020-03-26,"texas",0.0490262357315583,48,1543,21,1.36098509397278,1,424,0.274789371354504,1,9,0.428571428571429,1,-0.000975064354247379,-0.0198886237072394
"2491",2020-03-27,"texas",0.0479607889023232,48,1942,23,1.18434603501545,1,399,0.205458290422245,1,2,0.0869565217391304,1,-0.00106544682923504,-0.0222149562928359
"2492",2020-03-28,"texas",0.0468940950102707,48,2161,29,1.3419713095789,1,219,0.101341971309579,1,6,0.206896551724138,1,-0.00106669389205255,-0.0227468701937616
"2493",2020-03-29,"texas",0.0458286204610165,48,2712,35,1.2905604719764,1,551,0.203171091445428,1,6,0.171428571428571,1,-0.00106547454925421,-0.023249108058152
"2494",2020-03-30,"texas",0.0447749551470396,48,3043,46,1.51166611896155,1,331,0.108774235951364,1,11,0.239130434782609,1,-0.00105366531397694,-0.0235324705634374
"2495",2020-03-31,"texas",0.0436958839283393,48,3576,57,1.59395973154362,1,533,0.149049217002237,1,11,0.192982456140351,1,-0.00107907121870021,-0.024695031240697
"2496",2020-04-01,"texas",0.0434364314780868,48,4261,63,1.4785261675663,1,685,0.160760384886177,1,6,0.0952380952380952,1,-0.000259452450252551,-0.00597315298296182
"2497",2020-04-02,"texas",0.0431628487480175,48,4880,79,1.61885245901639,1,619,0.126844262295082,1,16,0.20253164556962,1,-0.000273582730069333,-0.00633838446731111
"2498",2020-04-03,"texas",0.0429028315868848,48,5669,97,1.71106015170224,1,789,0.139177985535368,1,18,0.185567010309278,1,-0.000260017161132664,-0.00606060606060674
"2499",2020-04-04,"texas",0.0426433688261373,48,6566,124,1.88851660067012,1,897,0.136612854096863,1,27,0.217741935483871,1,-0.000259462760747509,-0.0060844808440293
"2500",2020-04-05,"texas",0.0423697964065629,48,7091,136,1.91792412917783,1,525,0.0740375123395854,1,12,0.0882352941176471,1,-0.000273572419574375,-0.00645677918650559
